RelTime,Date_(UT)_HR:MN,RA_h,RA_m,RA_s,Dec_sign,Dec_d,Dec_m,Dec_s,APmag,S-brt,delta,deldot,S-O-T,S-T-O,Sky_motion,Sky_mot_PA,RelVel-ANG,Lun_Sky_Brt,sky_SNR
55,2000-Feb-25 12:00,16,02,47.48,-,18,37,57.0,18.558,1.919,0.88360711086003 -6.0448794,/*,0.0061,2.9749009,80.311580,-10.77136,n.a.
56,2000-Feb-26 12:00,16,07,46.98,-,18,48,25.1,18.541,1.911,0.88011715065416 -6.0398637,/*,0.0061,2.9985409,80.320733,-10.72111,n.a.
57,2000-Feb-27 12:00,16,12,49.48,-,18,58,27.9,18.524,1.902,0.87663086341026 -6.0321506,/*,0.0061,3.0224385,80.334138,-10.66629,n.a.
58,2000-Feb-28 12:00,16,17,54.99,-,19,08,04.5,18.506,1.894,0.87314982459133 -6.0216795,/*,0.0061,3.0465863,80.351891,-10.60688,n.a.
59,2000-Feb-29 12:00,16,23,03.53,-,19,17,13.7,18.489,1.885,0.86967564473155 -6.0083895,/*,0.0062,3.0709762,80.374088,-10.54283,n.a.
60,2000-Mar-01 12:00,16,28,15.10,-,19,25,54.4,18.472,1.876,0.86620996939219 -5.9922202,/*,0.0062,3.0955993,80.400826,-10.47412,n.a.
61,2000-Mar-02 12:00,16,33,29.72,-,19,34,05.7,18.455,1.868,0.86275447904326 -5.9731112,/*,0.0062,3.1204461,80.432200,-10.40071,n.a.
62,2000-Mar-03 12:00,16,38,47.39,-,19,41,46.3,18.437,1.859,0.85931088886518 -5.9510026,/*,0.0062,3.1455061,80.468308,-10.32257,n.a.
63,2000-Mar-04 12:00,16,44,08.10,-,19,48,55.3,18.420,1.850,0.85588094846485 -5.9258352,/*,0.0063,3.1707680,80.509245,-10.23969,n.a.
64,2000-Mar-05 12:00,16,49,31.85,-,19,55,31.4,18.402,1.842,0.85246644150016 -5.8975504,/*,0.0063,3.1962197,80.555105,-10.15203,n.a.
65,2000-Mar-06 12:00,16,54,58.64,-,20,01,33.6,18.385,1.833,0.84906918520716 -5.8660905,/*,0.0063,3.2218481,80.605984,-10.05957,n.a.
66,2000-Mar-07 12:00,17,00,28.44,-,20,07,00.7,18.368,1.824,0.84569102982367 -5.8313989,/*,0.0063,3.2476394,80.661973,-9.962286,n.a.
67,2000-Mar-08 12:00,17,06,01.25,-,20,11,51.5,18.351,1.816,0.84233385790338 -5.7934203,/*,0.0064,3.2735784,80.723165,-9.860168,n.a.
68,2000-Mar-09 12:00,17,11,37.04,-,20,16,05.1,18.333,1.807,0.83899958351428 -5.7521009,/*,0.0064,3.2996493,80.789647,-9.753198,n.a.
69,2000-Mar-10 12:00,17,17,15.78,-,20,19,40.2,18.316,1.799,0.83569015131529 -5.7073887,/*,0.0064,3.3258352,80.861509,-9.641364,n.a.
70,2000-Mar-11 12:00,17,22,57.44,-,20,22,35.7,18.299,1.790,0.83240753550526 -5.6592334,/*,0.0064,3.3521180,80.938833,-9.524656,n.a.
71,2000-Mar-12 12:00,17,28,41.99,-,20,24,50.5,18.282,1.782,0.82915373863831 -5.6075872,/*,0.0065,3.3784787,81.021701,-9.403068,n.a.
72,2000-Mar-13 12:00,17,34,29.39,-,20,26,23.5,18.265,1.773,0.82593079029986 -5.5524043,/*,0.0065,3.4048972,81.110193,-9.276597,n.a.
73,2000-Mar-14 12:00,17,40,19.58,-,20,27,13.7,18.248,1.765,0.82274074563799 -5.4936419,/*,0.0065,3.4313524,81.204382,-9.145244,n.a.
74,2000-Mar-15 12:00,17,46,12.52,-,20,27,19.9,18.232,1.756,0.81958568374489 -5.4312600,/*,0.0065,3.4578218,81.304339,-9.009014,n.a.
75,2000-Mar-16 12:00,17,52,08.15,-,20,26,41.2,18.215,1.748,0.81646770588372 -5.3652219,/*,0.0066,3.4842822,81.410129,-8.867914,n.a.
76,2000-Mar-17 12:00,17,58,06.41,-,20,25,16.5,18.199,1.740,0.81338893355649 -5.2954942,/*,0.0066,3.5107090,81.521814,-8.721958,n.a.
77,2000-Mar-18 12:00,18,04,07.24,-,20,23,04.9,18.183,1.732,0.81035150640934 -5.2220476,/*,0.0066,3.5370766,81.639448,-8.571163,n.a.
78,2000-Mar-19 12:00,18,10,10.55,-,20,20,05.4,18.167,1.724,0.80735757997185 -5.1448564,/*,0.0066,3.5633584,81.763079,-8.415549,n.a.
79,2000-Mar-20 12:00,18,16,16.28,-,20,16,17.3,18.151,1.716,0.80440932322815 -5.0638996,/*,0.0067,3.5895266,81.892751,-8.255142,n.a.
80,2000-Mar-21 12:00,18,22,24.35,-,20,11,39.5,18.135,1.708,0.80150891601798 -4.9791609,/*,0.0067,3.6155524,82.028499,-8.089973,n.a.
81,2000-Mar-22 12:00,18,28,34.67,-,20,06,11.4,18.120,1.700,0.79865854626695 -4.8906285,/*,0.0067,3.6414059,82.170350,-7.920077,n.a.
82,2000-Mar-23 12:00,18,34,47.15,-,19,59,52.3,18.104,1.693,0.79586040704626 -4.7982963,/*,0.0067,3.6670563,82.318323,-7.745495,n.a.
83,2000-Mar-24 12:00,18,41,01.70,-,19,52,41.4,18.089,1.685,0.79311669346283 -4.7021636,/*,0.0068,3.6924719,82.472429,-7.566274,n.a.
84,2000-Mar-25 12:00,18,47,18.21,-,19,44,38.2,18.075,1.678,0.79042959938253 -4.6022354,/*,0.0068,3.7176200,82.632670,-7.382465,n.a.
85,2000-Mar-26 12:00,18,53,36.60,-,19,35,42.2,18.060,1.671,0.78780131398972 -4.4985228,/*,0.0068,3.7424671,82.799037,-7.194125,n.a.
86,2000-Mar-27 12:00,18,59,56.75,-,19,25,52.8,18.046,1.664,0.78523401818819 -4.3910435,/*,0.0068,3.7669789,82.971511,-7.001318,n.a.
87,2000-Mar-28 12:00,19,06,18.55,-,19,15,09.9,18.032,1.657,0.78272988084944 -4.2798215,/*,0.0069,3.7911205,83.150063,-6.804111,n.a.
88,2000-Mar-29 12:00,19,12,41.91,-,19,03,33.0,18.019,1.650,0.78029105491624 -4.1648879,/*,0.0069,3.8148561,83.334652,-6.602580,n.a.
89,2000-Mar-30 12:00,19,19,06.70,-,18,51,02.0,18.005,1.643,0.77791967337018 -4.0462809,/*,0.0069,3.8381498,83.525226,-6.396806,n.a.
90,2000-Mar-31 12:00,19,25,32.82,-,18,37,36.7,17.993,1.637,0.77561784507402 -3.9240457,/*,0.0069,3.8609649,83.721719,-6.186875,n.a.
91,2000-Apr-01 12:00,19,32,00.14,-,18,23,17.2,17.980,1.631,0.77338765050084 -3.7982354,/*,0.0069,3.8832646,83.924054,-5.972883,n.a.
92,2000-Apr-02 12:00,19,38,28.55,-,18,08,03.6,17.968,1.625,0.77123113736360 -3.6689105,/*,0.0070,3.9050118,84.132141,-5.754927,n.a.
