RelTime,UT,x,y,z
1327,2003-Aug-20 12:00,-0.7511034947240808,-0.5507066720309205,-0.22427646016915392
1328,2003-Aug-21 12:00,-0.737950006670653,-0.5612865978938962,-0.22787315484723947
1329,2003-Aug-22 12:00,-0.7245461642997537,-0.5716749956417734,-0.23139221363828844
1330,2003-Aug-23 12:00,-0.710892865555586,-0.5818677015805954,-0.23483179819008163
1331,2003-Aug-24 12:00,-0.6969927591241348,-0.5918583586198434,-0.23819014326229124
1332,2003-Aug-25 12:00,-0.6828483797591799,-0.6016412561853611,-0.24146467490437093
1333,2003-Aug-26 12:00,-0.6684622913340678,-0.6112105817213077,-0.2446533492881184
1334,2003-Aug-27 12:00,-0.6538361844878111,-0.6205613601136536,-0.24775464278176748
1335,2003-Aug-28 12:00,-0.6389733614827542,-0.6296872664693056,-0.250766237009731
1336,2003-Aug-29 12:00,-0.6238768009786436,-0.6385824539537646,-0.2536859057655895
1337,2003-Aug-30 12:00,-0.6085490376550018,-0.6472414101439823,-0.2565119458674579
1338,2003-Aug-31 12:00,-0.5929939015828566,-0.6556579672197034,-0.2592414521999384
1339,2003-Sep-01 12:00,-0.5772140494009755,-0.6638264628944668,-0.2618733346075282
1340,2003-Sep-02 12:00,-0.5612135343824511,-0.6717407283493022,-0.26440488034112647
1341,2003-Sep-03 12:00,-0.5449954585407044,-0.6793953362530127,-0.2668339070735485
1342,2003-Sep-04 12:00,-0.5285644166521059,-0.6867835469874068,-0.269158751618509
1343,2003-Sep-05 12:00,-0.5119238649208508,-0.6939001318762805,-0.2713765862744014
1344,2003-Sep-06 12:00,-0.4950781055861021,-0.7007387770904859,-0.27348594491753625
1345,2003-Sep-07 12:00,-0.4780322168824277,-0.7072930678988494,-0.2754846208307615
1346,2003-Sep-08 12:00,-0.460789905458003,-0.7135578005868113,-0.2773700977582453
1347,2003-Sep-09 12:00,-0.4433568736074866,-0.7195261993236645,-0.2791407875282687
1348,2003-Sep-10 12:00,-0.42573757334638745,-0.7251928976510613,-0.28079396879678586
1349,2003-Sep-11 12:00,-0.40793736297063676,-0.7305515744494225,-0.2823282492158536
1350,2003-Sep-12 12:00,-0.3899618905138261,-0.7355963424728602,-0.28374111030453825
1351,2003-Sep-13 12:00,-0.3718168043986415,-0.7403212795964116,-0.2850305412021369
1352,2003-Sep-14 12:00,-0.3535083592269996,-0.744720280379919,-0.2861946254767487
1353,2003-Sep-15 12:00,-0.33504239224195326,-0.7487877301286697,-0.2872311396690864
1354,2003-Sep-16 12:00,-0.31642527447472085,-0.7525177204504987,-0.28813835045326563
1355,2003-Sep-17 12:00,-0.29766408556116664,-0.7559044902922575,-0.288913818896953
1356,2003-Sep-18 12:00,-0.27876579548547364,-0.7589420437343515,-0.28955637451080923
1357,2003-Sep-19 12:00,-0.259737063999072,-0.7616252391361543,-0.2900633510030535
1358,2003-Sep-20 12:00,-0.24058497943061868,-0.7639484444982807,-0.29043333586182307
1359,2003-Sep-21 12:00,-0.22131841755815218,-0.7659059305712163,-0.2906642043617786
1360,2003-Sep-22 12:00,-0.20194456567844815,-0.7674925517128017,-0.2907542854580654
1361,2003-Sep-23 12:00,-0.18247174104705413,-0.7687029896182381,-0.2907019631897186
1362,2003-Sep-24 12:00,-0.16290830463119899,-0.7695322550417348,-0.29050528839056244
1363,2003-Sep-25 12:00,-0.1432636804424789,-0.7699750523125863,-0.2901631187656083
1364,2003-Sep-26 12:00,-0.12354569707661808,-0.7700270445056983,-0.2896732043735346
1365,2003-Sep-27 12:00,-0.10376431755056681,-0.7696831265387496,-0.2890348393239536
1366,2003-Sep-28 12:00,-0.08392902624827298,-0.7689391085701138,-0.28824582223341993
1367,2003-Sep-29 12:00,-0.06404977829372191,-0.7677904244939844,-0.2873054663952332
1368,2003-Sep-30 12:00,-0.0441365611825477,-0.7662331909089387,-0.286211956791189
1369,2003-Oct-01 12:00,-0.024199310782429935,-0.7642633574555247,-0.2849645870259261
1370,2003-Oct-02 12:00,-0.0042490754661251426,-0.7618773773127971,-0.28356188264420823
1371,2003-Oct-03 12:00,0.015703687665884147,-0.7590718850851437,-0.282002709728587
1372,2003-Oct-04 12:00,0.035647425133179575,-0.7558434167413101,-0.28028699269584395
1373,2003-Oct-05 12:00,0.05557116988274511,-0.7521893754768221,-0.2784131274587271
1374,2003-Oct-06 12:00,0.07546340490986067,-0.7481069646134296,-0.276380912355136
1375,2003-Oct-07 12:00,0.09531210944661539,-0.7435940616047497,-0.2741893356402428
1376,2003-Oct-08 12:00,0.11510524719351585,-0.7386485270594058,-0.2718383897190807
1377,2003-Oct-09 12:00,0.1348308117828298,-0.7332687301035941,-0.269327601461151
1378,2003-Oct-10 12:00,0.15447570568765895,-0.7274533738852919,-0.2666571107302037
1379,2003-Oct-11 12:00,0.17402849562081907,-0.7212015123840151,-0.2638262148440012
1380,2003-Oct-12 12:00,0.19347550732057733,-0.7145124370482684,-0.26083588172522604
1381,2003-Oct-13 12:00,0.2128042592196907,-0.7073861576867397,-0.25768549993667667
1382,2003-Oct-14 12:00,0.23200159799175685,-0.6998226595509127,-0.2543761043229737
1383,2003-Oct-15 12:00,0.25105394907515766,-0.6918228329455745,-0.250907855237918
1384,2003-Oct-16 12:00,0.26994815359008956,-0.6833875619295574,-0.24728182121808814
1385,2003-Oct-17 12:00,0.28867110223148257,-0.6745183399493189,-0.24349854316174027
1386,2003-Oct-18 12:00,0.3072090270311896,-0.6652169510247423,-0.23955980962036824
1387,2003-Oct-19 12:00,0.32554886064570926,-0.6554859444531067,-0.23546580644532628
1388,2003-Oct-20 12:00,0.34367631853226405,-0.6453282658551982,-0.2312186676035453
1389,2003-Oct-21 12:00,0.3615781569613821,-0.634747106385753,-0.22681998406150772
1390,2003-Oct-22 12:00,0.3792411602615804,-0.6237462187164561,-0.22227115968112882
1391,2003-Oct-23 12:00,0.3966515386372021,-0.6123299442613058,-0.21757447289403273
1392,2003-Oct-24 12:00,0.41379563994615637,-0.600503372486263,-0.21273166116597952
1393,2003-Oct-25 12:00,0.43066096536525383,-0.5882709800558169,-0.20774569164805548
1394,2003-Oct-26 12:00,0.44723353109019637,-0.575639345498466,-0.20261828905669796
1395,2003-Oct-27 12:00,0.463500527877851,-0.5626144623296271,-0.19735241464972375
1396,2003-Oct-28 12:00,0.4794487828655613,-0.5492032427293114,-0.19195121080011834
1397,2003-Oct-29 12:00,0.4950661294065468,-0.535412649741103,-0.1864173006738979
1398,2003-Oct-30 12:00,0.5103399565151797,-0.5212504302688141,-0.18075420934539926
1399,2003-Oct-31 12:00,0.5252582749585647,-0.5067246999639622,-0.17496495806874346
1400,2003-Nov-01 12:00,0.5398084436362929,-0.49184488211211147,-0.16905313399103766
1401,2003-Nov-02 12:00,0.5539798065438857,-0.4766190777517756,-0.16302254689800158
1402,2003-Nov-03 12:00,0.567760439321668,-0.46105753954450956,-0.1568772402562907
1403,2003-Nov-04 12:00,0.5811397425931379,-0.44516997187036417,-0.1506211481339647
1404,2003-Nov-05 12:00,0.5941073737358168,-0.4289666724314794,-0.14425810596786828
1405,2003-Nov-06 12:00,0.6066525738787469,-0.41245933270274265,-0.1377925728042166
1406,2003-Nov-07 12:00,0.6187664116123812,-0.3956580341152303,-0.1312292904942267
1407,2003-Nov-08 12:00,0.6304394793552455,-0.3785747926749199,-0.12457222815396156
1408,2003-Nov-09 12:00,0.6416626378836248,-0.36122210278900524,-0.11782637446882031
1409,2003-Nov-10 12:00,0.6524282292598618,-0.34361114086842354,-0.11099668425242436
1410,2003-Nov-11 12:00,0.6627280547854109,-0.32575549121144975,-0.10408737467069548
1411,2003-Nov-12 12:00,0.6725551806493053,-0.3076672182586091,-0.0971040832786656
1412,2003-Nov-13 12:00,0.681902950206741,-0.2893593358861732,-0.09005173611964791
1413,2003-Nov-14 12:00,0.6907650216421902,-0.2708457794982839,-0.08293491373955435
1414,2003-Nov-15 12:00,0.6991360497468784,-0.2521393171088677,-0.07575930093770221
1415,2003-Nov-16 12:00,0.7070106966752292,-0.23325460208027138,-0.06852990241546474
1416,2003-Nov-17 12:00,0.7143849994814184,-0.21420402744557568,-0.0612521323363933
1417,2003-Nov-18 12:00,0.7212548409422191,-0.19500230834185436,-0.05393110361126628
1418,2003-Nov-19 12:00,0.7276168547688789,-0.17566389492236562,-0.04657199768015982
1419,2003-Nov-20 12:00,0.733468607135696,-0.15620184828520356,-0.03918007413532025
1420,2003-Nov-21 12:00,0.7388078934671776,-0.1366304315574014,-0.031761044125152606
1421,2003-Nov-22 12:00,0.7436330486639021,-0.11696459150282733,-0.024319622662079786
1422,2003-Nov-23 12:00,0.747943288779099,-0.09721720069011465,-0.016861720194165826
1423,2003-Nov-24 12:00,0.7517381293231886,-0.07740280561405241,-0.009391896069264721
1424,2003-Nov-25 12:00,0.7550176621566005,-0.057535979278547936,-0.0019155537539816171
1425,2003-Nov-26 12:00,0.7577827061733696,-0.03762908615882662,0.005561781324129484
1426,2003-Nov-27 12:00,0.7600343911461521,-0.01769718597102764,0.013035561714109729
1427,2003-Nov-28 12:00,0.7617745082620437,0.002246387525645477,0.0205003773041757
1428,2003-Nov-29 12:00,0.7630053108550586,0.02218896953805433,0.02795142362753084
1429,2003-Nov-30 12:00,0.7637295473241992,0.04211637128556664,0.0353841345603719
1430,2003-Dec-01 12:00,0.7639504313402282,0.06201623438415745,0.042793439555661214
1431,2003-Dec-02 12:00,0.7636716061780066,0.08187583649086656,0.05017487405184939
1432,2003-Dec-03 12:00,0.7628972336105931,0.10168211506510656,0.05752383854798103
1433,2003-Dec-04 12:00,0.7616318839528569,0.12142280445663851,0.06483559678566145
1434,2003-Dec-05 12:00,0.7598805251857261,0.141085898880099,0.07210564907021348
1435,2003-Dec-06 12:00,0.7576483055132743,0.16066020408015927,0.0793304862284366
1436,2003-Dec-07 12:00,0.7549410217172459,0.1801337255260723,0.0865057196038189
1437,2003-Dec-08 12:00,0.7517649042820008,0.1994947950356381,0.09362682721408512
1438,2003-Dec-09 12:00,0.7481259391796267,0.21873367200862642,0.10069066551207426
1439,2003-Dec-10 12:00,0.7440311452938674,0.2378388017143943,0.10769283524063221
1440,2003-Dec-11 12:00,0.7394872071851978,0.2568005602197053,0.11463032678574173
1441,2003-Dec-12 12:00,0.7345013308886306,0.2756091618858673,0.12149925568125583
1442,2003-Dec-13 12:00,0.7290811519613072,0.2942546430909783,0.12829599933474992
1443,2003-Dec-14 12:00,0.7232341989378986,0.3127278828809412,0.13501796680239103
1444,2003-Dec-15 12:00,0.7169685680616857,0.33101965314909304,0.14166169897727623
1445,2003-Dec-16 12:00,0.7102919772151072,0.34912210168408275,0.1482243970172316
1446,2003-Dec-17 12:00,0.7032128642532476,0.3670267402185981,0.1547027793235202
1447,2003-Dec-18 12:00,0.6957393985713661,0.38472588334349245,0.16109462125823176
1448,2003-Dec-19 12:00,0.6878805308114602,0.4022112436478717,0.16739722532722143
1449,2003-Dec-20 12:00,0.6796445159022072,0.4194764369485361,0.17360780651982105
1450,2003-Dec-21 12:00,0.6710400766497782,0.4365143133380557,0.17972465912354457
1451,2003-Dec-22 12:00,0.6620762050605066,0.45331818770254284,0.18574522777212651
1452,2003-Dec-23 12:00,0.6527615922817065,0.4698821869602328,0.19166727083634885
1453,2003-Dec-24 12:00,0.6431052550961407,0.4862002637928456,0.1974888676155392
1454,2003-Dec-25 12:00,0.6331162116938557,0.5022666736717597,0.20320842564698693
1455,2003-Dec-26 12:00,0.6228036203511186,0.5180760858617194,0.20882390262214126
1456,2003-Dec-27 12:00,0.6121761466330946,0.5336238396099836,0.21433398544463989
1457,2003-Dec-28 12:00,0.6012428463254411,0.5489051357906874,0.21973731313759842
1458,2003-Dec-29 12:00,0.5900129590026005,0.5639156522423024,0.22503168817651067
1459,2003-Dec-30 12:00,0.5784953455777658,0.578651023187103,0.2302168459068109
1460,2003-Dec-31 12:00,0.5666987555577615,0.5931079008245325,0.23529090288254853
1461,2004-Jan-01 12:00,0.5546326182990804,0.6072822517782065,0.24025273153382182
1462,2004-Jan-02 12:00,0.5423054099202819,0.6211710716525756,0.24510157304523977
1463,2004-Jan-03 12:00,0.5297264708934281,0.6347708249764369,0.24983664421446475
1464,2004-Jan-04 12:00,0.5169037419022818,0.6480794110675946,0.25445713990810415
1465,2004-Jan-05 12:00,0.5038470548591264,0.661093553066531,0.25896183244724463
1466,2004-Jan-06 12:00,0.4905640906708755,0.6738114403089936,0.2633506847099864
1467,2004-Jan-07 12:00,0.4770635680232308,0.6862309305007768,0.26762284290060645
1468,2004-Jan-08 12:00,0.463354086552465,0.6983500188122279,0.2717778466197625
1469,2004-Jan-09 12:00,0.44944478775960517,0.710166715322106,0.27581482166294696
1470,2004-Jan-10 12:00,0.43534241148327735,0.7216801091324891,0.2797345193683499
1471,2004-Jan-11 12:00,0.42105657051050926,0.7328884116986749,0.28353565381730716
1472,2004-Jan-12 12:00,0.40659505189263795,0.7437906756940625,0.2872181622881175
1473,2004-Jan-13 12:00,0.39196549434118555,0.754385982769672,0.29078240043084447
1474,2004-Jan-14 12:00,0.37717608044503753,0.7646734055627504,0.2942283234685434
1475,2004-Jan-15 12:00,0.36223449897326687,0.7746527289856451,0.29755506742962906
1476,2004-Jan-16 12:00,0.34714867389688586,0.7843231132113061,0.3007634334942261
1477,2004-Jan-17 12:00,0.3319260276651871,0.793684389343457,0.3038534119198189
1478,2004-Jan-18 12:00,0.3165739007077298,0.8027365196802033,0.3068250079544812
1479,2004-Jan-19 12:00,0.30110014254628,0.8114793744970598,0.30967824336671884
1480,2004-Jan-20 12:00,0.28551130494638494,0.8199132645741647,0.3124135788278583
1481,2004-Jan-21 12:00,0.26981509747292204,0.8280383187513739,0.31503107739333575
1482,2004-Jan-22 12:00,0.254017869951928,0.8358549029422914,0.317531669997418
1483,2004-Jan-23 12:00,0.23812786025651578,0.8433633627404402,0.31991504570515633
1484,2004-Jan-24 12:00,0.2221507101264328,0.8505645993107828,0.32218176409570887
1485,2004-Jan-25 12:00,0.20609320314411345,0.8574592220996815,0.32433241472202523
1486,2004-Jan-26 12:00,0.1899627243566605,0.8640479561629849,0.32636718943887694
1487,2004-Jan-27 12:00,0.173764676556311,0.8703319008090429,0.3282867372854396
1488,2004-Jan-28 12:00,0.15750628005709547,0.8763118136426713,0.33009174075318415
1489,2004-Jan-29 12:00,0.1411927919410531,0.8819889028928569,0.3317829168606156
1490,2004-Jan-30 12:00,0.12483198606724605,0.8873641732503189,0.3333605837332784
1491,2004-Jan-31 12:00,0.10842835701129817,0.8924392173658114,0.33482509039312647
1492,2004-Feb-01 12:00,0.09198821607319327,0.8972150567123165,0.3361776921249515
1493,2004-Feb-02 12:00,0.07551787798580066,0.9016932903173274,0.33741837207332287
1494,2004-Feb-03 12:00,0.059022235312043494,0.9058752106330534,0.3385484613919019
1495,2004-Feb-04 12:00,0.04250812162538751,0.9097623391860908,0.33956845368130606
1496,2004-Feb-05 12:00,0.025979666490661454,0.9133564158383676,0.3404788773589535
1497,2004-Feb-06 12:00,0.009442909920518274,0.916658944191596,0.34128074072789033
1498,2004-Feb-07 12:00,-0.00709615256654658,0.9196716857609859,0.34197464806345257
1499,2004-Feb-08 12:00,-0.023633593240104184,0.9223964442347851,0.3425612402847329
1500,2004-Feb-09 12:00,-0.04016352935504268,0.9248347277655439,0.343042093069407
1501,2004-Feb-10 12:00,-0.05668149609049382,0.9269887198558066,0.3434170304165223
1502,2004-Feb-11 12:00,-0.07318172618070766,0.9288602099029568,0.34368725791882204
1503,2004-Feb-12 12:00,-0.08965986164862298,0.9304511167552949,0.34385357237493325
1504,2004-Feb-13 12:00,-0.10611158600589901,0.9317631916843226,0.3439172641590046
1505,2004-Feb-14 12:00,-0.12253131552831013,0.9327986947598764,0.34387875654775985
1506,2004-Feb-15 12:00,-0.13891554037901344,0.9335595112633686,0.34373896411931765
1507,2004-Feb-16 12:00,-0.15525879617251967,0.9340479813256573,0.34349838226009805
1508,2004-Feb-17 12:00,-0.17155694781305303,0.9342657971932055,0.3431589221541664
1509,2004-Feb-18 12:00,-0.18780602036827887,0.9342153087533307,0.34272069909599095
1510,2004-Feb-19 12:00,-0.2040020385387627,0.9338985372513702,0.34218478405700486
1511,2004-Feb-20 12:00,-0.2201397163256281,0.93331782608215,0.3415522886626987
1512,2004-Feb-21 12:00,-0.236215933126019,0.9324754201480541,0.3408234325940211
1513,2004-Feb-22 12:00,-0.2522261039158959,0.93137324308439,0.3400003360037376
1514,2004-Feb-23 12:00,-0.26816725079348935,0.9300136776786155,0.33908282529744305
1515,2004-Feb-24 12:00,-0.28403424565662516,0.9283990441659723,0.3380726332790442
