element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ar,2,"=""437.96665""","=""0.00001""","=""550""","=""1.004e+08""",A,"=""135601.7336""","=""158428.1087""","=""3s2.3p4.(3P).4s""","=""4P""","=""1/2""","=""3s2.3p4.(3P).4p""","=""4D*""","=""1/2""",,"=""T926""","=""L11520""",
Ar,2,"=""437.98805""","=""0.00001""","=""794""","=""""",,"=""161089.3846""","=""183914.6440""","=""3s2.3p4.(3P).4p""","=""2S*""","=""1/2""","=""3s2.3p4.(3P).5s""","=""2P""","=""1/2""",,"=""""","=""L11520""",
Ar,2,"=""438.2930""","=""0.0002""","=""5""","=""""",,"=""189415.0280""","=""212224.389""","=""3s2.3p4.(3P).5p""","=""4D*""","=""7/2""","=""3s2.3p4.(3P).7d""","=""4F""","=""9/2""",,"=""""","=""L11520""",
Ar,2,"=""438.37545""","=""0.00009""","=""14""","=""1.1e+06""",B,"=""138243.6444""","=""161048.7411""","=""3s2.3p4.(3P).4s""","=""2P""","=""3/2""","=""3s2.3p4.(3P).4p""","=""4S*""","=""3/2""",,"=""T926""","=""L11520""",
Ar,2,"=""438.50565""","=""0.00001""","=""117""","=""""",,"=""167307.9822""","=""190106.3000""","=""3s2.3p4.(1S).4s""","=""2S""","=""1/2""","=""3s2.3p4.(3P).5p""","=""4D*""","=""3/2""",,"=""""","=""L11520""",
Ar,2,"=""438.69656""","=""0.00004""","=""5""","=""""",,"=""190511.2674""","=""213299.665""","=""3s2.3p4.(3P).5p""","=""2D*""","=""5/2""","=""3s2.3p4.(3P).7d""","=""2F""","=""7/2""",,"=""""","=""L2634""",
Ar,2,"=""439.4622""","=""0.0008""","=""3""","=""6.e+05""",C,"=""161048.7411""","=""183797.4473""","=""3s2.3p4.(3P).4p""","=""4S*""","=""3/2""","=""3s2.3p4.(3P).4d""","=""4D""","=""5/2""",,"=""T926""","=""L14821""",
Ar,2,"=""439.7798""","=""0.0003""","=""5""","=""""",,"=""192333.4986""","=""215065.7716""","=""3s2.3p4.(1S).4p""","=""2P*""","=""1/2""","=""3s2.3p4.(1S).5s""","=""2S""","=""1/2""",,"=""""","=""L11520""",
Ar,2,"=""440.00964""","=""0.00001""","=""257""","=""1.60e+07""",B,"=""132630.7277""","=""155351.1206""","=""3s2.3p4.(3P).3d""","=""4D""","=""3/2""","=""3s2.3p4.(3P).4p""","=""4P*""","=""3/2""",,"=""T926""","=""L11520""",
Ar,2,"=""440.09860""","=""0.00001""","=""8710""","=""3.04e+07""",B,"=""132327.3616""","=""155043.1619""","=""3s2.3p4.(3P).3d""","=""4D""","=""7/2""","=""3s2.3p4.(3P).4p""","=""4P*""","=""5/2""",,"=""T926""","=""L11520""",
Ar,2,"=""440.1744""","=""0.0016""","=""2bl?""","=""""",,"=""160239.4280""","=""182951.2609""","=""3s2.3p4.(3P).4p""","=""2P*""","=""3/2""","=""3s2.3p4.(3P).5s""","=""4P""","=""1/2""",,"=""""","=""L14821""",
Ar,2,"=""440.49019""","=""0.00006""","=""18""","=""""",,"=""172335.5985""","=""195031.2028""","=""3s2.3p4.(1D).3d""","=""2D""","=""5/2""","=""3s2.3p4.(3P<2>).4f""","=""2[2]*""","=""5/2""",,"=""""","=""L11520""",
