element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ne,8,"=""465.97""","=""0.30""","=""100""","=""""",,"=""[1858216.0]""","=""[1879675.5]""","=""1s2.10[k-m]""","=""""","=""""","=""1s2.12[k-o]""","=""""","=""""",,"=""""","=""L9090,L10000""",
Ne,2,"=""466.0837""","=""0.0020""","=""60""","=""""",,"=""282375.3049""","=""303824.6705""","=""2s2.2p4.(3P).4s""","=""4P""","=""3/2""","=""2s2.2p4.(3P<0>).4f""","=""2[3]*""","=""5/2""",,"=""""","=""L1406""",
Ne,1,"=""466.11054""","=""0.00004""","=""1500""","=""""",,"=""148257.7898""","=""169705.9275""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""0""",,"=""""","=""L3451""",
Ne,4,"=""466.25""","=""0.15""","=""1i""","=""""",,"=""714720+z""","=""736162+z""","=""2s2.2p2.(3P<2>).5g""","=""2[5]""","=""""","=""2s2.2p2.(3P<2>).6h""","=""2[6]*""","=""""",,"=""""","=""L397,L17865""",
Ne,1,"=""466.3092""","=""0.0020""","=""400""","=""""",,"=""150772.1118""","=""172211.107""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).8d""","=""2[5/2]*""","=""2""",,"=""""","=""L3469""",
Ne,1,"=""466.3518""","=""0.0020""","=""200""","=""""",,"=""150772.1118""","=""172209.15""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).8d""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
Ne,1,"=""466.6654""","=""0.0020""","=""500""","=""""",,"=""151038.4524""","=""172460.966""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).7d""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
Ne,1,"=""466.73643""","=""0.00020""","=""1000""","=""""",,"=""151038.4524""","=""172457.823""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).7d""","=""2[3/2]*""","=""2""",,"=""""","=""L4498""",
Ne,2,"=""466.9372""","=""0.0020""","=""60""","=""""",,"=""302750.7840""","=""324160.95""","=""2s2.2p4.(3P).4d""","=""4F""","=""7/2""","=""2s2.2p4.(3P<1>).8f""","=""2[4]*""","=""9/2""",,"=""""","=""L1406""",
Ne,1,"=""467.0884""","=""0.0001""","=""700""","=""""",,"=""150858.5079""","=""172261.741""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).8s""","=""2[1/2]*""","=""1""",,"=""""","=""L7292""",
Ne,1,"=""467.8218""","=""0.0001""","=""3000""","=""""",,"=""150315.8612""","=""171685.542""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).7d""","=""2[5/2]*""","=""3""",,"=""""","=""L7292""",
Ne,2,"=""467.8314""","=""0.0020""","=""60""","=""""",,"=""303071.8002""","=""324441.04""","=""2s2.2p4.(3P).4d""","=""4P""","=""5/2""","=""2s2.2p4.(3P<0>).8f""","=""2[3]*""","=""7/2""",,"=""""","=""L1406""",
Ne,1,"=""467.86107""","=""0.00020""","=""500""","=""""",,"=""150121.5922""","=""171489.486""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""1""",,"=""""","=""L4498""",
Ne,1,"=""467.9135""","=""0.0001""","=""1500""","=""""",,"=""150315.8612""","=""171681.348""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).7d""","=""2[3/2]*""","=""2""",,"=""""","=""L7292""",
Ne,1,"=""468.03670""","=""0.00020""","=""1000""","=""""",,"=""150315.8612""","=""171675.728""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).7d""","=""2[7/2]*""","=""3""",,"=""""","=""L4498""",
Ne,1,"=""468.1200""","=""0.0020""","=""500""","=""""",,"=""150315.8612""","=""171671.928""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).7d""","=""2[1/2]*""","=""1""",,"=""""","=""L3469""",
Ne,1,"=""468.1930""","=""0.0020""","=""200""","=""""",,"=""150858.5079""","=""172211.266""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).8d""","=""2[5/2]*""","=""3""",,"=""""","=""L3469""",
Ne,1,"=""468.2146""","=""0.0020""","=""200""","=""""",,"=""150121.5922""","=""171473.311""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
Ne,1,"=""468.2910""","=""0.0020""","=""100""","=""""",,"=""150858.5079""","=""172206.770""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).8d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
Ne,1,"=""468.3238""","=""0.0020""","=""50""","=""""",,"=""150858.5079""","=""172205.272""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).8d""","=""2[7/2]*""","=""3""",,"=""""","=""L3469""",
Ne,1,"=""468.3764""","=""0.0020""","=""300""","=""""",,"=""150917.4307""","=""172261.741""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""0""","=""2s2.2p5.(2P*<1/2>).8s""","=""2[1/2]*""","=""1""",,"=""""","=""L3469""",
Ne,2,"=""468.6355""","=""0.0020""","=""60""","=""""",,"=""302192.9098""","=""323525.49""","=""2s2.2p4.(3P).4d""","=""4F""","=""9/2""","=""2s2.2p4.(3P<2>).8f""","=""2[5]*""","=""11/2""",,"=""""","=""L1406""",
Ne,1,"=""468.7671""","=""0.0001""","=""1000""","=""""",,"=""150315.8612""","=""171642.4494""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).6d""","=""2[5/2]*""","=""3""",,"=""""","=""L7292""",
Ne,1,"=""468.8191""","=""0.0020""","=""20""","=""""",,"=""150315.8612""","=""171639.9741""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).6d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
Ne,2,"=""468.8671""","=""0.0020""","=""40""","=""""",,"=""302839.2693""","=""324161.30""","=""2s2.2p4.(3P).4d""","=""4F""","=""5/2""","=""2s2.2p4.(3P<1>).8f""","=""2[4]*""","=""7/2""",,"=""""","=""L1406""",
Ne,1,"=""469.1580""","=""0.0020""","=""150""","=""""",,"=""150772.1118""","=""172080.915""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).9s""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
Ne,1,"=""469.5363""","=""0.0020""","=""200""","=""""",,"=""150917.4307""","=""172209.15""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""0""","=""2s2.2p5.(2P*<3/2>).8d""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
Ne,1,"=""469.6943""","=""0.0020""","=""50""","=""""",,"=""150917.4307""","=""172201.878""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""0""","=""2s2.2p5.(2P*<3/2>).8d""","=""2[1/2]*""","=""1""",,"=""""","=""L3469""",
Ne,2,"=""469.7874""","=""0.0020""","=""22""","=""""",,"=""302890.5369""","=""324170.79""","=""2s2.2p4.(3P).4d""","=""2F""","=""5/2""","=""2s2.2p4.(3P<1>).8f""","=""2[3]*""","=""7/2""",,"=""""","=""L1406""",
Ne,2,"=""469.8430""","=""0.0020""","=""60""","=""""",,"=""302247.7634""","=""323525.51""","=""2s2.2p4.(3P).4d""","=""2F""","=""7/2""","=""2s2.2p4.(3P<2>).8f""","=""2[5]*""","=""9/2""",,"=""""","=""L1406""",
Ne,2,"=""470.0243""","=""0.0020""","=""12""","=""""",,"=""281720.2755""","=""302989.805""","=""2s2.2p4.(3P).3d""","=""2P""","=""3/2""","=""2s2.2p4.(3P<2>).4f""","=""2[1]*""","=""3/2""",,"=""""","=""L1406""",
