element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Hg,1,"=""521.89""","=""0.02""","=""2""","=""""",,"=""63928.120""","=""83081.93""","=""5d10.6s.7s""","=""1S""","=""0""","=""5d10.6s.14p""","=""1P*""","=""1""",,"=""""","=""L7587c86""",
Hg,2,"=""522.2922""","=""0.0003""","=""500h""","=""1.3e+07""",,"=""123153.775""","=""142294.817""","=""5d10.5f""","=""2F*""","=""7/2""","=""5d10.7g""","=""2G""","=""9/2""",,"=""T7226""","=""L11760""",
Hg,2,"=""524.2173""","=""0.0003""","=""35w""","=""9.0e+04""",,"=""105544.042""","=""124614.794""","=""5d10.6d""","=""2D""","=""5/2""","=""5d9.6s.6p""","=""(2D<3/2>,1P<1>)*""","=""3/2""",,"=""T7226""","=""L11760""",
Hg,2,"=""527.7591""","=""0.0003""","=""18000""","=""""",,"=""146727.968""","=""165670.728""","=""5d9.6s.6d""","=""[(2D<5/2>,1/2)<3>,5/2]""","=""9/2""","=""5d9.6s.5f""","=""[(2D<5/2>,1/2)<3>,5/2]*""","=""9/2""",,"=""""","=""L11760""",
Hg,2,"=""528.0146""","=""0.0003""","=""600h""","=""""",,"=""146727.968""","=""165661.563""","=""5d9.6s.6d""","=""[(2D<5/2>,1/2)<3>,5/2]""","=""9/2""","=""5d9.6s.5f""","=""[(2D<5/2>,1/2)<3>,7/2]*""","=""11/2""",,"=""""","=""L11760""",
Hg,1,"=""529.0740""","=""0.0005""","=""30""","=""""",,"=""63928.120""","=""82823.816""","=""5d10.6s.7s""","=""1S""","=""0""","=""5d10.6s.13p""","=""1P*""","=""1""",,"=""""","=""L3499""",
Hg,2,"=""529.3248""","=""0.0003""","=""200""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L11760""",
Hg,2,"=""529.4177""","=""0.0003""","=""400h""","=""9.2e+06""",,"=""123411.351""","=""142294.773""","=""5d10.5f""","=""2F*""","=""5/2""","=""5d10.7g""","=""2G""","=""7/2""",,"=""T7226""","=""L11760""",
Hg,2,"=""531.6067""","=""0.0006""","=""75c""","=""1.5e+04""",,"=""86178.478""","=""104984.138""","=""5d9.6s.6p""","=""(2D<5/2>,3P<1>)*""","=""3/2""","=""5d10.6d""","=""2D""","=""3/2""",,"=""T7226""","=""L11760""",
Hg,1,"=""531.6776""","=""0.0005""","=""6""","=""""",,"=""62350.325""","=""81153.485""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.10p""","=""1P*""","=""1""",,"=""""","=""L3499c86""",
Hg,1,"=""535.4034""","=""0.0014""","=""130""","=""""",,"=""62350.325""","=""81022.63""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.10p""","=""3P*""","=""2""",,"=""""","=""L11984""",
Hg,1,"=""536.55""","=""0.01""","=""12""","=""""",,"=""78677.01""","=""97309.84""","=""5d9.6s2.(2D<5/2>).6p""","=""2[5/2]*""","=""2""","=""5d9.6s2.(2D<5/2>).7s""","=""2[5/2]""","=""2""",,"=""""","=""L1310c86""",
Hg,2,"=""537.2373""","=""0.0003""","=""40""","=""""",,"=""146727.968""","=""165336.537""","=""5d9.6s.6d""","=""[(2D<5/2>,1/2)<3>,5/2]""","=""9/2""","=""5d9.6s.5f""","=""[(2D<5/2>,1/2)<3>,5/2]*""","=""11/2""",,"=""""","=""L11760""",
Hg,1,"=""538.4626""","=""0.0005""","=""50""","=""""",,"=""62350.325""","=""80916.551""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.10p""","=""3P*""","=""1""",,"=""""","=""L3499""",
Hg,1,"=""538.8810""","=""0.0005""","=""""","=""""",,"=""62350.325""","=""80902.139""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.10p""","=""3P*""","=""0""",,"=""""","=""L3499""",
Hg,1,"=""539.3468""","=""0.0005""","=""""","=""""",,"=""63928.120""","=""82463.923""","=""5d10.6s.7s""","=""1S""","=""0""","=""5d10.6s.12p""","=""1P*""","=""1""",,"=""""","=""L3499""",
Hg,1,"=""540.48""","=""0.01""","=""3""","=""""",,"=""78813.02""","=""97309.84""","=""5d9.6s2.(2D<5/2>).6p""","=""2[3/2]*""","=""1""","=""5d9.6s2.(2D<5/2>).7s""","=""2[5/2]""","=""2""",,"=""""","=""L1310c86""",
Hg,2,"=""542.5253""","=""0.0003""","=""8000000""","=""1.4e+08""",,"=""104984.138""","=""123411.351""","=""5d10.6d""","=""2D""","=""3/2""","=""5d10.5f""","=""2F*""","=""5/2""",,"=""T7226""","=""L11760""",
Hg,1,"=""546.0750""","=""0.0001""","=""6000""","=""4.9e+07""",B,"=""44042.909""","=""62350.325""","=""5d10.6s.6p""","=""3P*""","=""2""","=""5d10.6s.7s""","=""3S""","=""1""",,"=""T5292""","=""L7247""",
Hg,2,"=""546.5286""","=""0.0003""","=""250""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L11760""",
Hg,1,"=""554.9634""","=""0.0005""","=""50""","=""""",,"=""63928.120""","=""81942.318""","=""5d10.6s.7s""","=""1S""","=""0""","=""5d10.6s.11p""","=""1P*""","=""1""",,"=""""","=""L3499""",
Hg,2,"=""559.5268""","=""0.0005""","=""200000""","=""8.8e+06""",,"=""105544.042""","=""123411.351""","=""5d10.6d""","=""2D""","=""5/2""","=""5d10.5f""","=""2F*""","=""5/2""",,"=""T7226""","=""L11760""",
Hg,1,"=""567.581""","=""0.008""","=""600""","=""""",,"=""62350.325""","=""79963.85""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.9p""","=""1P*""","=""1""",,"=""""","=""L7588""",
Hg,2,"=""567.7105""","=""0.0003""","=""20000000E""","=""1.8e+08""",,"=""105544.042""","=""123153.775""","=""5d10.6d""","=""2D""","=""5/2""","=""5d10.5f""","=""2F*""","=""7/2""",,"=""T7226""","=""L11760""",
Hg,3,"=""569.571""","=""""","=""6""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3332""",
Hg,2,"=""569.8590""","=""0.0003""","=""1500c""","=""4.6e+06""",,"=""103873.302""","=""121416.626""","=""5d9.6s.6p""","=""(2D<3/2>,3P<1>)*""","=""1/2""","=""5d10.8s""","=""2S""","=""1/2""",,"=""T7226""","=""L11760""",
Hg,1,"=""576.9610""","=""0.0001""","=""1000""","=""2.36e+07""",B,"=""54068.6829""","=""71396.073""","=""5d10.6s.6p""","=""1P*""","=""1""","=""5d10.6s.6d""","=""3D""","=""2""",,"=""T5292""","=""L7247""",
Hg,1,"=""578.969""","=""0.005""","=""30""","=""6.e+05""",D,"=""54068.6829""","=""71336.005""","=""5d10.6s.6p""","=""1P*""","=""1""","=""5d10.6s.6d""","=""3D""","=""1""",,"=""T3447""","=""L15226""",
Hg,1,"=""579.0670""","=""0.0001""","=""900""","=""3.1e+07""",D,"=""54068.6829""","=""71333.053""","=""5d10.6s.6p""","=""1P*""","=""1""","=""5d10.6s.6d""","=""1D""","=""2""",,"=""T3462""","=""L7247""",
Hg,1,"=""580.3782""","=""0.0005""","=""400""","=""""",,"=""63928.120""","=""81153.485""","=""5d10.6s.7s""","=""1S""","=""0""","=""5d10.6s.10p""","=""1P*""","=""1""",,"=""""","=""L3499""",
Hg,1,"=""581.83""","=""0.01""","=""2""","=""""",,"=""80127.5""","=""97309.84""","=""5d9.6s2.(2D<5/2>).6p""","=""2[5/2]*""","=""3""","=""5d9.6s2.(2D<5/2>).7s""","=""2[5/2]""","=""2""",,"=""""","=""L1310c86""",
Hg,2,"=""585.1758""","=""0.0004""","=""1300c""","=""8.0e+06""",,"=""121960.399""","=""139044.521""","=""5d9.6s.6p""","=""(2D<3/2>,1P<1>)*""","=""5/2""","=""5d10.6g""","=""2G""","=""7/2""",,"=""T7226""","=""L11760""",
Hg,1,"=""585.9254""","=""0.0005""","=""130""","=""""",,"=""62350.325""","=""79412.615""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.9p""","=""3P*""","=""1""",,"=""""","=""L3499""",
Hg,2,"=""587.0899""","=""0.0003""","=""80p""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L11760""",
Hg,2,"=""587.1279""","=""0.0003""","=""1200000""","=""1.0e+08""",,"=""108298.183""","=""125325.531""","=""5d10.7p""","=""2P*""","=""1/2""","=""5d10.7d""","=""2D""","=""3/2""",,"=""T7226""","=""L11760""",
Hg,2,"=""587.1572""","=""0.0003""","=""50u""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L11760""",
Hg,2,"=""587.1921""","=""0.0003""","=""600h""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L11760""",
Hg,1,"=""587.1975""","=""0.0005""","=""30""","=""""",,"=""62350.325""","=""79375.652""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.9p""","=""3P*""","=""0""",,"=""""","=""L3499""",
Hg,2,"=""588.8939""","=""0.0003""","=""2000000c""","=""3.8e+07""",,"=""104984.138""","=""121960.399""","=""5d10.6d""","=""2D""","=""3/2""","=""5d9.6s.6p""","=""(2D<3/2>,1P<1>)*""","=""5/2""",,"=""T7226""","=""L11760""",
Hg,1,"=""589.02""","=""0.01""","=""12""","=""""",,"=""80127.5""","=""97100.23""","=""5d9.6s2.(2D<5/2>).6p""","=""2[5/2]*""","=""3""","=""5d9.6s2.(2D<5/2>).7s""","=""2[5/2]""","=""3""",,"=""""","=""L1310c86""",
Hg,2,"=""591.8496""","=""0.0003""","=""10w""","=""3.3e+06""",,"=""127795.481""","=""144686.984""","=""5d10.8p""","=""2P*""","=""3/2""","=""5d10.11d""","=""2D""","=""5/2""",,"=""T7226""","=""L11760""",
Hg,2,"=""594.7680""","=""0.0003""","=""150""","=""4.5e+06""",,"=""125325.531""","=""142134.148""","=""5d10.7d""","=""2D""","=""3/2""","=""5d10.8f""","=""2F*""","=""5/2""",,"=""T7226""","=""L11760""",
Hg,2,"=""596.1509""","=""0.0006""","=""1500c""","=""1.8e+06""",,"=""104984.138""","=""121753.739""","=""5d10.6d""","=""2D""","=""3/2""","=""5d9.6s.6p""","=""(2D<3/2>,1P<1>)*""","=""1/2""",,"=""T7226""","=""L11760""",
Hg,2,"=""597.8916""","=""0.0003""","=""180h""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L11760""",
Hg,2,"=""603.2653""","=""0.0003""","=""60h""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L11760""",
Hg,2,"=""604.1045""","=""0.0003""","=""180h""","=""4.5e+06""",,"=""125579.636""","=""142128.476""","=""5d10.7d""","=""2D""","=""5/2""","=""5d10.8f""","=""2F*""","=""7/2""",,"=""T7226""","=""L11760""",
Hg,1,"=""607.264""","=""0.010""","=""30""","=""6.e+04""",E,"=""62350.325""","=""78813.02""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d9.6s2.(2D<5/2>).6p""","=""2[3/2]*""","=""1""",,"=""T3462""","=""L7394""",
Hg,2,"=""608.9794""","=""0.0004""","=""8000c""","=""2.7e+06""",,"=""105544.042""","=""121960.399""","=""5d10.6d""","=""2D""","=""5/2""","=""5d9.6s.6p""","=""(2D<3/2>,1P<1>)*""","=""5/2""",,"=""T7226""","=""L11760""",
Hg,2,"=""610.0096""","=""0.0003""","=""100""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L11760""",
Hg,2,"=""610.0332""","=""0.0004""","=""5000c""","=""1.8e+07""",,"=""109191.648""","=""125579.636""","=""5d9.6s.6p""","=""(2D<3/2>,3P<2>)*""","=""3/2""","=""5d10.7d""","=""2D""","=""5/2""",,"=""T7226""","=""L11760""",
Hg,1,"=""612.327""","=""0.005""","=""3""","=""""",,"=""62350.325""","=""78677.01""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d9.6s2.(2D<5/2>).6p""","=""2[5/2]*""","=""2""",,"=""""","=""L15190c86""",
Hg,2,"=""614.1773""","=""0.0003""","=""150""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L11760""",
Hg,2,"=""614.6435""","=""0.0003""","=""1500000""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L11760""",
Hg,2,"=""614.6845""","=""0.0003""","=""350w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L11760""",
Hg,2,"=""614.9475""","=""0.0001""","=""25000000c""","=""6.2e+07""",,"=""95714.406""","=""111971.464""","=""5d10.7s""","=""2S""","=""1/2""","=""5d10.7p""","=""2P*""","=""3/2""",,"=""T7226""","=""L11760""",
Hg,2,"=""615.2002""","=""0.0003""","=""120""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L11760""",
Hg,2,"=""615.7138""","=""0.0003""","=""120""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L11760""",
Hg,2,"=""615.8303""","=""0.0003""","=""1000""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L11760""",
Hg,2,"=""619.4289""","=""0.0003""","=""70h""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L11760""",
Hg,2,"=""619.6409""","=""0.0003""","=""250c""","=""3.0e+06""",,"=""109191.648""","=""125325.531""","=""5d9.6s.6p""","=""(2D<3/2>,3P<2>)*""","=""3/2""","=""5d10.7d""","=""2D""","=""3/2""",,"=""T7226""","=""L11760""",
Hg,3,"=""622.035""","=""""","=""25""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3332""",
Hg,1,"=""623.436""","=""0.010""","=""50""","=""3.0e+05""",D,"=""63928.120""","=""79963.85""","=""5d10.6s.7s""","=""1S""","=""0""","=""5d10.6s.9p""","=""1P*""","=""1""",,"=""T3462""","=""L7394,L7589""",
Hg,2,"=""624.2222""","=""0.0003""","=""65000""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L11760""",
Hg,2,"=""629.1228""","=""0.0003""","=""65000""","=""2.6e+07""",,"=""123153.775""","=""139044.524""","=""5d10.5f""","=""2F*""","=""7/2""","=""5d10.6g""","=""2G""","=""9/2""",,"=""T7226""","=""L11760""",
Hg,2,"=""636.0199""","=""0.0003""","=""150h""","=""4.8e+06""",,"=""126941.844""","=""142660.277""","=""5d10.8p""","=""2P*""","=""1/2""","=""5d10.10d""","=""2D""","=""3/2""",,"=""T7226""","=""L11760""",
Hg,2,"=""639.4890""","=""0.0003""","=""55000""","=""1.8e+07""",,"=""123411.351""","=""139044.521""","=""5d10.5f""","=""2F*""","=""5/2""","=""5d10.6g""","=""2G""","=""7/2""",,"=""T7226""","=""L11760""",
Hg,3,"=""641.898""","=""""","=""35""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3332""",
Hg,2,"=""644.0547""","=""0.0003""","=""30h""","=""1.8e+05""",,"=""124614.794""","=""140137.134""","=""5d9.6s.6p""","=""(2D<3/2>,1P<1>)*""","=""3/2""","=""5d9.6s.7s""","=""[(2D<5/2>,1/2)<2>,1/2]""","=""5/2""",,"=""T7226""","=""L11760""",
Hg,3,"=""650.138""","=""""","=""40""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3332""",
