element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
N,3,"=""486.715""","=""""","=""150""","=""6.18e+07""",B,"=""309849.8""","=""330389.9""","=""2s.2p.(3P*).3p""","=""4D""","=""7/2""","=""2s.2p.(3P*).3d""","=""4F*""","=""9/2""",,"=""T7192LS""","=""L3513""",
N,2,"=""489.511""","=""""","=""285""","=""3.04e+06""",D,"=""144187.94""","=""164610.76""","=""2s.2p3""","=""1D*""","=""2""","=""2s2.2p.3p""","=""1P""","=""1""",,"=""T7333""","=""L3513""",
N,1,"=""491.494""","=""""","=""160""","=""8.08e+05""",B,"=""86137.350""","=""106477.800""","=""2s2.2p2.(3P).3s""","=""2P""","=""1/2""","=""2s2.2p2.(3P).4p""","=""2S*""","=""1/2""",,"=""T5475n""","=""L3513""",
N,1,"=""493.512""","=""""","=""210""","=""1.76e+06""",B,"=""86220.510""","=""106477.800""","=""2s2.2p2.(3P).3s""","=""2P""","=""3/2""","=""2s2.2p2.(3P).4p""","=""2S*""","=""1/2""",,"=""T5475n""","=""L3513""",
N,5,"=""494.456""","=""0.005""","=""200w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L4829""",
N,1,"=""495.023""","=""""","=""160""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3513""",
N,1,"=""496.398""","=""""","=""350""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3513""",
N,2,"=""498.737""","=""""","=""285""","=""6.98e+07""",B+,"=""168892.21""","=""188937.24""","=""2s2.2p.3p""","=""3S""","=""1""","=""2s2.2p.3d""","=""3P*""","=""0""",,"=""T7333""","=""L3513""",
N,2,"=""499.436""","=""""","=""450""","=""2.62e+07""",C+,"=""205654.22""","=""225671.22""","=""2s.2p2.(4P).3s""","=""5P""","=""2""","=""2s.2p2.(4P).3p""","=""5P*""","=""3""",,"=""T5520LS""","=""L3513""",
N,2,"=""500.148""","=""""","=""650""","=""1.04e+08""",A,"=""166582.45""","=""186570.98""","=""2s2.2p.3p""","=""3D""","=""2""","=""2s2.2p.3d""","=""3F*""","=""3""",,"=""T7333""","=""L3513""",
N,2,"=""500.270""","=""""","=""360""","=""8.33e+06""",B,"=""148908.59""","=""168892.21""","=""2s2.2p.3s""","=""3P*""","=""0""","=""2s2.2p.3p""","=""3S""","=""1""",,"=""T7333""","=""L3513""",
N,2,"=""500.515""","=""""","=""870""","=""1.14e+08""",A,"=""166678.64""","=""186652.49""","=""2s2.2p.3p""","=""3D""","=""3""","=""2s2.2p.3d""","=""3F*""","=""4""",,"=""T7333""","=""L3513""",
N,2,"=""500.732""","=""""","=""550""","=""7.43e+07""",B+,"=""168892.21""","=""188857.37""","=""2s2.2p.3p""","=""3S""","=""1""","=""2s2.2p.3d""","=""3P*""","=""2""",,"=""T7333""","=""L3513""",
N,2,"=""501.062""","=""""","=""450""","=""2.10e+07""",B,"=""148940.17""","=""168892.21""","=""2s2.2p.3s""","=""3P*""","=""1""","=""2s2.2p.3p""","=""3S""","=""1""",,"=""T7333""","=""L3513""",
N,2,"=""501.639""","=""""","=""360""","=""1.59e+07""",A,"=""166582.45""","=""186511.58""","=""2s2.2p.3p""","=""3D""","=""2""","=""2s2.2p.3d""","=""3F*""","=""2""",,"=""T7333""","=""L3513""",
