Blue Raw:Wavelength(nm),Blue Raw:Raw,Yellow Raw:Wavelength(nm),Yellow Raw:Raw,Green Raw:Wavelength(nm),Green Raw:Raw,Chlorophyll Raw:Wavelength(nm),Chlorophyll Raw:Raw
411.60000000000002,10941.047222222222,411.60000000000002,1299.3972222222219,411.60000000000002,5743.7944444444438,411.60000000000002,1822.7194444444442
412.5,11236.824999999999,412.5,1302.2861111111108,412.5,5849.1277777777786,412.5,1851.9972222222223
413.39999999999998,11556.102777777778,413.39999999999998,1291.1194444444443,413.39999999999998,5955.5166666666664,413.39999999999998,1882.6638888888886
414.19999999999999,11847.547222222223,414.19999999999999,1282.7305555555556,414.19999999999999,6061.905555555556,414.19999999999999,1918.6638888888886
415.10000000000002,12164.380555555557,415.10000000000002,1283.0083333333332,415.10000000000002,6156.6277777777768,415.10000000000002,1940.163888888889
416,12462.713888888888,416,1285.0083333333332,416,6260.0166666666664,416,1957.2749999999999
416.89999999999998,12768.602777777778,416.89999999999998,1283.5638888888886,416.89999999999998,6352.9611111111108,416.89999999999998,1971.7749999999999
417.80000000000001,13064.991666666667,417.80000000000001,1273.3972222222219,417.80000000000001,6446.1277777777768,417.80000000000001,2000.0527777777777
418.69999999999999,13413.213888888888,418.69999999999999,1283.4527777777776,418.69999999999999,6546.4611111111108,418.69999999999999,2027.6083333333333
419.60000000000002,13732.769444444442,419.60000000000002,1285.8972222222221,419.60000000000002,6646.9611111111117,419.60000000000002,2054.3861111111109
420.39999999999998,14074.547222222222,420.39999999999998,1293.0638888888889,420.39999999999998,6737.0166666666673,420.39999999999998,2069.6083333333331
421.30000000000001,14381.380555555554,421.30000000000001,1286.8416666666665,421.30000000000001,6833.6833333333343,421.30000000000001,2083.4416666666662
422.19999999999999,14722.102777777778,422.19999999999999,1287.675,422.19999999999999,6939.905555555556,422.19999999999999,2101.1083333333336
423.10000000000002,15076.380555555554,423.10000000000002,1277.5638888888889,423.10000000000002,7060.1833333333343,423.10000000000002,2119.1083333333331
424,15409.936111111112,424,1281.5083333333332,424,7162.9055555555569,424,2150.1083333333331
424.89999999999998,15759.880555555554,424.89999999999998,1278.5638888888886,424.89999999999998,7261.5166666666673,424.89999999999998,2176.7194444444444
425.80000000000001,16084.047222222222,425.80000000000001,1295.5638888888886,425.80000000000001,7362.5166666666673,425.80000000000001,2202.4972222222223
426.60000000000002,16447.54722222222,426.60000000000002,1294.0083333333332,426.60000000000002,7467.6833333333343,426.60000000000002,2243.7194444444444
427.5,16797.602777777778,427.5,1305.2305555555556,427.5,7567.2944444444465,427.5,2276.4416666666671
428.39999999999998,17139.04722222222,428.39999999999998,1288.3972222222221,428.39999999999998,7654.6277777777796,428.39999999999998,2320.1638888888888
429.30000000000001,17435.713888888888,429.30000000000001,1295.7861111111108,429.30000000000001,7743.0166666666673,429.30000000000001,2345.9416666666662
430.19999999999999,17711.380555555555,430.19999999999999,1295.6194444444443,430.19999999999999,7814.0722222222239,430.19999999999999,2366.8861111111114
431.10000000000002,17965.658333333329,431.10000000000002,1292.4527777777776,431.10000000000002,7867.4055555555569,431.10000000000002,2400.8305555555557
432,18193.769444444446,432,1289.0638888888889,432,7920.0166666666673,432,2435.1083333333336
432.80000000000001,18406.658333333333,432.80000000000001,1270.5638888888889,432.80000000000001,7981.23888888889,432.80000000000001,2482.7194444444444
433.69999999999999,18579.547222222223,433.69999999999999,1280.5083333333332,433.69999999999999,8033.4055555555569,433.69999999999999,2514.5527777777775
434.60000000000002,18711.825000000001,434.60000000000002,1275.4527777777776,434.60000000000002,8036.0166666666673,434.60000000000002,2556.1083333333336
435.5,18799.93611111111,435.5,1294.3416666666665,435.5,8015.4055555555569,435.5,2605.5527777777775
436.39999999999998,18840.491666666665,436.39999999999998,1303.5638888888889,436.39999999999998,7987.6833333333343,436.39999999999998,2659.9416666666666
437.30000000000001,18882.04722222222,437.30000000000001,1301.7305555555556,437.30000000000001,7968.5722222222239,437.30000000000001,2712.8861111111109
438.19999999999999,18876.54722222222,438.19999999999999,1303.2305555555556,438.19999999999999,7935.1833333333343,438.19999999999999,2753.4416666666671
439,18827.04722222222,439,1294.675,439,7860.6833333333343,439,2799.1083333333336
439.89999999999998,18726.325000000001,439.89999999999998,1299.4527777777776,439.89999999999998,7779.0722222222239,439.89999999999998,2832.9416666666671
440.80000000000001,18543.047222222223,440.80000000000001,1284.4527777777776,440.80000000000001,7681.1833333333343,440.80000000000001,2868.3305555555562
441.69999999999999,18356.04722222222,441.69999999999999,1288.4527777777776,441.69999999999999,7581.7944444444447,441.69999999999999,2905.2194444444449
