t,x,y,z,x_earth,y_earth,z_earth
6028.0,0.9939257576392009,0.667527172199599,-0.012507329143041897,0.11286985384205994,-1.011936117062125,0.0001456915149714098
6029.0,0.9820052470079955,0.6732381910155512,-0.013092760423923756,0.12959198771790736,-1.0095165942866529,0.00014429400924260668
6030.0,0.9699126004121749,0.6788311943390617,-0.013675896332566596,0.14627774998996174,-1.00681376068152,0.00014285605109702344
6031.0,0.957647013646177,0.684303154997173,-0.014256593404080895,0.16292240747429004,-1.0038280279977951,0.00014137799404184378
6032.0,0.9452076764939559,0.6896509552187817,-0.01483470345697949,0.17952122627963707,-1.000559884633155,0.00013986020316333273
6033.0,0.9325937735606,0.6948713826758534,-0.015410073361447452,0.19606947295781593,-0.997009895904551,0.00013830305509788252
6034.0,0.9198044851987286,0.6999611263201043,-0.015982544794425915,0.21256241566696182,-0.9931787043072192,0.0001367069380002132
6035.0,0.9068389885392055,0.7049167720027494,-0.016551953980621405,0.2289953253476433,-0.9890670297595764,0.0001350722515086522
6036.0,0.8936964586366976,0.709734797864088,-0.01711813141848498,0.24536347691181404,-0.9846756698335437,0.0001333994067074278
6037.0,0.8803760697416971,0.7144115694788303,-0.017680901590132917,0.26166215044457264,-0.9800054999698227,0.00013168882608590273
6038.0,0.8668769967118469,0.7189433347421161,-0.018240082654101743,0.27788663241868505,-0.9750574736776508,0.00012994094349467816
6039.0,0.8531984165767533,0.7233262184801917,-0.018795486119745408,0.2940322169218092,-0.9698326227185451,0.00012815620409849574
6040.0,0.8393395102719847,0.7275562167686366,-0.01934691650198967,0.31009420689634654,-0.9643320572735422,0.00012633506432586873
6041.0,0.8252994645596207,0.7316291909399,-0.019894170955059156,0.32606791539182933,-0.9585569660934354,0.0001244779918153665
6042.0,0.8110774741545914,0.7355408612607032,-0.020437038883683634,0.3419486668297364,-0.9525086166314978,0.00012258546535848637
6043.0,0.7966727440781258,0.7392868002585774,-0.020975301530173043,0.35773179828061513,-0.9461883551581801,0.00012065797483903624
6044.0,0.7820844922619524,0.7428624256754566,-0.02150873153562323,0.37341266075336793,-0.9395976068572625,0.00011869602116896074
6045.0,0.7673119524294967,0.7462629930248009,-0.02203709247337671,0.38898662049654575,-0.9327378759029346,0.00011670011622053815
6046.0,0.7523543772832174,0.7494835877272177,-0.02256013835271337,0.40444906031147354,-0.9256107455172744,0.00011467078275487794
6047.0,0.7372110420304777,0.7525191167979441,-0.023077613090584485,0.41979538087701257,-0.9182178780075904,0.00011260855434664947
6048.0,0.7218812482839778,0.7553643000578905,-0.023589249949028508,0.4350210020857484,-0.910561014783089,0.00011051397530497222
6049.0,0.7063643283768544,0.7580136608381891,-0.02409477093571804,0.4501213643913703,-0.902641976350325,0.00010838760059039929
6050.0,0.6906596501371194,0.760461516146384,-0.024593886164882953,0.46509193016699324,-0.8944626622868894,0.000106229995727926
6051.0,0.6747666221712351,0.7627019662605178,-0.02508629317563411,0.4799281850741486,-0.8860250511927877,0.00010404173671595704
6052.0,0.6586846997123803,0.7647288837154509,-0.025571676204474293,0.4946256394421523,-0.8773312006189611,0.0001018234099311665
6053.0,0.6424133910954318,0.7665359016438025,-0.026049705408526774,0.5091798296575393,-0.8683832469723984,9.95756120291862e-05
6054.0,0.6259522649279547,0.7681164014319437,-0.026520036035736987,0.5235863195632264,-0.8591834053972904,9.729894984105911e-05
6055.0,0.6093009580346812,0.7694634996495449,-0.02698230753800756,0.537840701867054,-0.8497339696316757,9.499404026539566e-05
